Index,Frequency,Diagnosis,Low DO,High Do,Low Pump,High Pump,Low pH,High pH,Low Temp,High Temphh,Low Death,High Death,Low SR,High SR,Low Weight,High Weight,Low Feed,High Feed,Power Outage,High Biomass,Cost ($)	
-,-,COSTS:,1,1,1,1,1,1,1,1,1,1,4,4,2,2,1,1,1,1,	
1,10,D0 â€“ Generic Low DO event (cause unknown),PASS,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,	
2,1,D1 â€“ Low DO due to recent power outage,PASS,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,	
3,5,D2 â€“ Low DO due to blower setting too low for biomass,PASS,?,PASS,FAIL,?,?,?,?,?,?,?,?,?,PASS,?,?,?,?,	
4,2,D3 â€“ Low DO due to overfeeding & high biomass (organic overload),PASS,?,FAIL,PASS,?,?,?,?,?,?,?,?,?,PASS,?,?,?,?,	
5,1,D4 â€“ Low DO driven by high temperature & feeding,PASS,?,?,PASS,?,?,?,PASS,?,?,?,?,?,?,?,?,?,?,	
6,1,D5 â€“ Low DO + low pH (alkalinity crash under heavy load),PASS,?,?,PASS,PASS,?,?,?,?,PASS,PASS,PASS,?,PASS,?,?,?,?,	
7,2,"D6 â€“ Apparent Low DO, but no stress (suspect sensor / local pocket)",PASS,?,FAIL,FAIL,?,?,?,?,PASS,FAIL,FAIL,PASS,PASS,FAIL,?,?,?,?,	
8,1,D7 â€“ High DO from over-aeration at low biomass,?,PASS,PASS,PASS,?,?,PASS,FAIL,PASS,FAIL,?,PASS,PASS,FAIL,PASS,?,?,?,	
9,2,D8 â€“ High DO due to oversized aeration for high biomass (inefficient),?,PASS,?,PASS,?,?,?,?,PASS,FAIL,?,PASS,FAIL,PASS,FAIL,?,?,?,	
10,2,D9 â€“ High DO + high pH + high temp (photosynthesis / daytime spike),?,PASS,?,FAIL,?,PASS,?,PASS,?,?,?,?,?,?,?,?,?,?,	
11,1,D10 â€“ Oxygen demand overload (acute DO crisis),PASS,?,?,PASS,?,?,?,PASS,?,PASS,PASS,?,?,PASS,?,?,?,?,	
12,1,D11 â€“ Aeration underset (blower setting too low),PASS,?,PASS,?,?,?,?,?,PASS,?,?,?,?,PASS,?,?,?,?,	
13,1,D12 â€“ Over-aeration / gas supersaturation risk,?,PASS,?,PASS,?,?,PASS,?,PASS,?,?,PASS,PASS,?,PASS,?,?,?,	
14,3,D13 â€“ Alkalinity crash / pH too low,?,?,?,?,PASS,?,?,?,?,PASS,PASS,?,PASS,?,?,?,?,?,	
15,1,D14 â€“ High pH + ammonia stress pattern,?,PASS,?,?,?,PASS,?,PASS,?,PASS,PASS,?,?,?,?,?,?,?,	
